"Año";"Periodo";"Parámetro";"Renta bruta media";"Renta disponible media"
"2018";"Año";"02001-San Antonio Abad- La Pajarita- Polígono de San Antón- Centro (Albacete)";"32.036";"25.823"
"2018";"Año";"02002-Parque Sur-Huerta de Marzo (Albacete)";"30.426";"24.615"
"2018";"Año";"02003-Franciscanos (Albacete)";"26.866";"22.145"
"2018";"Año";"02004-Fátima- Villacerrada (Albacete)";"23.072";"19.449"
"2018";"Año";"02005-Industria- El Pilar- Feria- Ntra. Sra. de Cubas (Albacete)";"25.098";"20.822"
"2018";"Año";"02006-San Pedro -Mortero- Pedro Lamata- Santa Teresa- Sepulcro-Bolera- San Pablo (Albacete)";"24.547";"20.413"
"2018";"Año";"02008-La Estrella- La Milagrosa- Hermanos Falcó- Universidad (Albacete)";"27.960";"22.648"
"2018";"Año";"02049-Aguas Nuevas (Albacete)";"22.754";"19.155"
"2018";"Año";"03001-Centro (Alicante/Alacant)";"37.776";"29.898"
"2018";"Año";"03002-Casco Antiguo (Alicante/Alacant)";"30.584";"24.873"
"2018";"Año";"03003-Ensanche (Alicante/Alacant)";"39.291";"30.805"
"2018";"Año";"03004-San Antón (Alicante/Alacant)";"29.051";"23.609"
"2018";"Año";"03005-Polígono de San Blas (Alicante/Alacant)";"27.678";"22.623"
"2018";"Año";"03006-Florida-Portazgo (Alicante/Alacant)";"21.454";"18.272"
"2018";"Año";"03007-Polígono de Babel (Alicante/Alacant)";"24.359";"20.287"
"2018";"Año";"03008-Puerto de Alicante-El Palmeral (Alicante/Alacant)";"27.780";"22.692"
"2018";"Año";"03009-Los Ángeles-Campoamor (Alicante/Alacant)";"20.581";"17.572"
"2018";"Año";"03010-Altozano (Alicante/Alacant)";"21.706";"18.474"
"2018";"Año";"03011-Ciudad Jardín (Alicante/Alacant)";"17.874";"15.631"
"2018";"Año";"03012-Carolinas (Alicante/Alacant)";"19.482";"16.821"
"2018";"Año";"03013-Repós (Alicante/Alacant)";"21.269";"18.120"
"2018";"Año";"03014-Nou Alacant (Alicante/Alacant)";"22.621";"18.915"
"2018";"Año";"03015-Parque de Las Avenidas-Vistahermosa (Alicante/Alacant)";"26.218";"21.590"
"2018";"Año";"03016-La Goteta-La Cantera (Alicante/Alacant)";"35.278";"27.993"
"2018";"Año";"03112-Villafranqueza (Alicante/Alacant)";"21.188";"17.995"
"2018";"Año";"03113-El Rebolledo (Alicante/Alacant)";"22.624";"19.034"
"2018";"Año";"03195-L Altet-Els Bassars (Elche/Elx)";"23.648";"19.721"
"2018";"Año";"03201-Plá de Sant Josép-Pont Nou (Elche/Elx)";"21.881";"18.328"
"2018";"Año";"03202-Altabix-Ciutat Esportiva (Elche/Elx)";"24.213";"19.973"
"2018";"Año";"03203-Parque industrial (Elche/Elx)";"27.099";"22.110"
"2018";"Año";"03204-Sector 5º-El Asilo-El Canal (Elche/Elx)";"18.922";"16.221"
"2018";"Año";"03205-Altamira-El Toscar (Elche/Elx)";"17.377";"15.193"
"2018";"Año";"03206-Carrús-Pza. Barcelona (Elche/Elx)";"15.776";"14.013"
"2018";"Año";"03208-El Travaló (Elche/Elx)";"26.112";"21.533"
"2018";"Año";"03291-La Galia (Elche/Elx)";"24.513";"20.184"
"2018";"Año";"03292-Las Baias (Elche/Elx)";"21.058";"17.852"
"2018";"Año";"03293-Pol.Ind. del Llano SnaJosé- Pla Nou- Algorós- El Derramador (Elche/Elx)";"26.909";"21.999"
"2018";"Año";"03294-La Foia (Elche/Elx)";"19.304";"16.685"
"2018";"Año";"03295-Les Selades-Jubalcoy-Maitino-Perleta (Elche/Elx)";"25.441";"20.585"
"2018";"Año";"03296-Matola-Algoda (Elche/Elx)";"23.145";"19.175"
"2018";"Año";"03320-Torrellano (Elche/Elx)";"21.005";"17.829"
"2018";"Año";"03540-Playa de San Juan (Alicante/Alacant)";"38.532";"30.099"
"2018";"Año";"03699-Moralet (Alicante/Alacant)";"22.383";"18.919"
"2018";"Año";"04001-Centro Rambla- Centro Paseo- Plaza de Toros- Catedral (Almería)";"35.661";"28.086"
"2018";"Año";"04002-La Chanca- Las Cuevas de S.Joaquín- Urb.Las Pedrizas- Col.del Morato-Almedina (Almería)";"20.810";"17.661"
"2018";"Año";"04003-Pza.de la Constitución- Cerro San Cristobal-Barrio de las Cruces- El Santo (Almería)";"24.827";"20.600"
"2018";"Año";"04004-Oliveros- Santa Rita (Almería)";"32.978";"26.365"
"2018";"Año";"04005-Barrio Alto- Col.Montserrat-Altamira (Almería)";"26.996";"22.191"
"2018";"Año";"04006-Nueva Andalucía- Regiones Devastadas- El Diezmo- La Bolera- Los Molinos (Almería)";"25.971";"21.468"
"2018";"Año";"04007-500 viviendas- El Zapillo- Cortijo Grande- Ciudad Jardín- La Bolera (Almería)";"28.315";"22.927"
"2018";"Año";"04008-La Molineta- Las Trincheras- LosÁngeles- La Fuentecica-Barrio de la Esperanza (Almería)";"19.657";"16.857"
"2018";"Año";"04009-El Puche- La Loma- Las Chocillas- Torre Cárdenas (Almería)";"23.034";"19.222"
"2018";"Año";"04120-El Bobar- La Cañada- Costacabana- Loma Cabrera- El Mamí- Venta Gaspar (Almería)";"19.982";"17.043"
"2018";"Año";"04130-Alquian (Almería)";"19.525";"16.683"
"2018";"Año";"04131-Retamar (Almería)";"26.115";"21.370"
"2018";"Año";"07001-Monti-Sion (Palma de Mallorca)";"55.038";"42.585"
"2018";"Año";"07002-Centro-Mercat (Palma de Mallorca)";"47.300";"36.057"
"2018";"Año";"07003-Centro-Sant Jaume (Palma de Mallorca)";"38.925";"30.839"
"2018";"Año";"07004-Son Oliva (Palma de Mallorca)";"28.800";"23.509"
"2018";"Año";"07005-Pere Garau (Palma de Mallorca)";"26.100";"21.636"
"2018";"Año";"07006-Es Portixol (Palma de Mallorca)";"29.744";"24.220"
"2018";"Año";"07007-Coll D En Rabassa (Palma de Mallorca)";"25.249";"21.050"
"2018";"Año";"07008-Son Canals (Palma de Mallorca)";"22.609";"19.142"
"2018";"Año";"07009-Son Cladera (Palma de Mallorca)";"24.702";"20.670"
"2018";"Año";"07010-Cas Capiscol (Palma de Mallorca)";"30.669";"24.834"
"2018";"Año";"07011-El Fortí-Son Ximelis (Palma de Mallorca)";"30.766";"24.897"
"2018";"Año";"07012-San Jaume (Palma de Mallorca)";"58.944";"45.029"
"2018";"Año";"07013-Son Rapinya (Palma de Mallorca)";"35.664";"28.377"
"2018";"Año";"07014-Son Dureta (Palma de Mallorca)";"50.888";"39.505"
"2018";"Año";"07015-Cala Major-El Terreno (Palma de Mallorca)";"42.184";"33.010"
"2018";"Año";"07120-Son Sardina (Palma de Mallorca)";"33.238";"26.679"
"2018";"Año";"07198-Son Ferriol (Palma de Mallorca)";"26.940";"22.292"
"2018";"Año";"07199-Llevant (Palma de Mallorca)";"27.747";"22.955"
"2018";"Año";"07600-El Arenal (Palma de Mallorca)";"23.226";"19.483"
"2018";"Año";"07610-Can Pastilla (Palma de Mallorca)";"34.428";"27.663"
"2018";"Año";"08001-Ciutat Vella-El Raval (Barcelona)";"23.464";"19.437"
"2018";"Año";"08002-Barrio Gótico (Barcelona)";"33.294";"26.177"
"2018";"Año";"08003-Barceloneta y Sant Pere (Barcelona)";"32.286";"25.768"
"2018";"Año";"08004-Pueblo Seco (Barcelona)";"27.518";"22.526"
"2018";"Año";"08005-El Poblenou (Barcelona)";"39.290";"30.604"
"2018";"Año";"08006-Sant Gervasi (Barcelona)";"55.071";"41.987"
"2018";"Año";"08007-Passeig de Gràcia-Rambla de Catalunya (Barcelona)";"64.439";"48.345"
"2018";"Año";"08008-Diagonal-Provença (Barcelona)";"65.297";"48.426"
"2018";"Año";"08009-Dreta de L Eixample (Barcelona)";"49.083";"37.703"
"2018";"Año";"08010-Tetúan-Urquinaona (Barcelona)";"53.626";"41.037"
"2018";"Año";"08011-Urgel-Sant Antoni (Barcelona)";"39.844";"31.241"
"2018";"Año";"08012-Vila de Gracia (Barcelona)";"36.881";"28.949"
"2018";"Año";"08013-Glories Catalanes (Barcelona)";"36.138";"28.585"
"2018";"Año";"08014-Hostafrancs-Sants (Barcelona)";"33.808";"26.905"
"2018";"Año";"08015-Sant Antoni (Barcelona)";"36.873";"29.247"
"2018";"Año";"08016-La Prosperitat-Porta (Barcelona)";"26.261";"21.864"
"2018";"Año";"08017-Vallvidrera-Tibidabo i Les Planes (Barcelona)";"97.866";"71.746"
"2018";"Año";"08018-Sant Martí (Barcelona)";"34.639";"27.426"
"2018";"Año";"08019-Diagonal Mar i El Front Maritim Del Poblenou (Barcelona)";"37.387";"29.157"
